Time,Price,Quantity,IsMarketMaker,NumTrades,M
2025-03-16 00:01:02.12936837 +0530 IST,614.03000000,0.09800000,false,1,true
2025-03-16 00:01:02.133289023 +0530 IST,614.00000000,0.22800000,true,1,true
2025-03-16 00:01:02.135223349 +0530 IST,614.00000000,0.02000000,true,1,true
2025-03-16 00:01:02.188249774 +0530 IST,614.00000000,0.04500000,true,1,true
2025-03-16 00:01:02.192179081 +0530 IST,614.00000000,0.20300000,true,1,true
2025-03-16 00:01:02.197219948 +0530 IST,613.99000000,0.65200000,true,1,true
2025-03-16 00:01:02.206249053 +0530 IST,613.98000000,0.24800000,true,1,true
2025-03-16 00:01:02.538426859 +0530 IST,613.97000000,0.05500000,true,1,true
2025-03-16 00:01:06.29136845 +0530 IST,613.96000000,0.04500000,true,1,true
2025-03-16 00:01:06.305181392 +0530 IST,613.96000000,0.09400000,true,1,true
2025-03-16 00:01:06.365210506 +0530 IST,613.96000000,0.51300000,true,1,true
2025-03-16 00:01:06.411561676 +0530 IST,613.95000000,1.83800000,true,1,true
2025-03-16 00:01:06.488342046 +0530 IST,613.93000000,1.16100000,true,1,true
2025-03-16 00:01:06.488363451 +0530 IST,613.92000000,0.96200000,true,2,true
2025-03-16 00:01:06.49347547 +0530 IST,613.92000000,3.56000000,true,2,true
2025-03-16 00:01:06.504157168 +0530 IST,613.90000000,0.81400000,true,1,true
2025-03-16 00:01:06.514335708 +0530 IST,613.88000000,0.40800000,true,1,true
2025-03-16 00:01:10.193317455 +0530 IST,613.98000000,0.08200000,false,1,true
2025-03-16 00:01:10.194219411 +0530 IST,613.98000000,0.13100000,false,1,true
2025-03-16 00:01:10.194243027 +0530 IST,613.98000000,0.13100000,false,1,true
2025-03-16 00:01:11.48427947 +0530 IST,613.98000000,0.46200000,false,1,true
2025-03-16 00:01:11.488214558 +0530 IST,614.00000000,0.24800000,false,1,true
2025-03-16 00:01:11.49357899 +0530 IST,614.00000000,0.56600000,false,1,true
2025-03-16 00:01:12.563293681 +0530 IST,614.06000000,0.24800000,true,1,true
2025-03-16 00:01:14.145177947 +0530 IST,614.07000000,0.09400000,false,1,true
2025-03-16 00:01:14.154465318 +0530 IST,614.07000000,0.24800000,true,1,true
2025-03-16 00:01:14.204483652 +0530 IST,614.02000000,0.09400000,true,1,true
2025-03-16 00:01:14.230642974 +0530 IST,614.02000000,0.04500000,true,1,true
2025-03-16 00:01:14.235350121 +0530 IST,614.02000000,0.10800000,true,1,true
2025-03-16 00:01:15.185218964 +0530 IST,614.02000000,0.00100000,true,1,true
2025-03-16 00:01:15.185237688 +0530 IST,614.01000000,0.08400000,true,1,true
2025-03-16 00:01:16.071532112 +0530 IST,614.02000000,0.24800000,true,1,true
2025-03-16 00:01:16.077449904 +0530 IST,614.01000000,0.56800000,true,1,true
2025-03-16 00:01:17.233503023 +0530 IST,613.98000000,0.09400000,true,1,true
2025-03-16 00:01:18.539237123 +0530 IST,613.94000000,1.74000000,true,1,true
2025-03-16 00:01:24.662247254 +0530 IST,613.91000000,3.69800000,true,1,true
2025-03-16 00:01:24.663244603 +0530 IST,613.90000000,0.81400000,true,1,true
2025-03-16 00:01:25.529201911 +0530 IST,613.97000000,1.07200000,false,1,true
2025-03-16 00:01:25.530174901 +0530 IST,614.00000000,1.33100000,false,2,true
2025-03-16 00:01:25.533568574 +0530 IST,614.01000000,0.81500000,false,2,true
2025-03-16 00:01:25.54365752 +0530 IST,614.05000000,0.65200000,false,1,true
2025-03-16 00:01:28.273302558 +0530 IST,614.14000000,6.85900000,false,1,true
2025-03-16 00:01:28.274262791 +0530 IST,614.14000000,0.01000000,false,1,true
2025-03-16 00:01:32.343349073 +0530 IST,614.17000000,0.01100000,false,1,true
2025-03-16 00:01:32.343369058 +0530 IST,614.19000000,0.99900000,false,2,true
2025-03-16 00:01:32.344353659 +0530 IST,614.20000000,1.12200000,false,3,true
2025-03-16 00:01:32.353866229 +0530 IST,614.20000000,2.17300000,false,4,true
2025-03-16 00:01:32.364317238 +0530 IST,614.22000000,3.88200000,false,1,true
2025-03-16 00:01:32.373635246 +0530 IST,614.22000000,1.00000000,false,2,true
2025-03-16 00:01:37.454432998 +0530 IST,614.11000000,0.24800000,true,1,true
2025-03-16 00:01:37.454458513 +0530 IST,614.10000000,0.81400000,true,1,true
2025-03-16 00:01:37.463374163 +0530 IST,614.08000000,0.53800000,true,2,true
2025-03-16 00:01:37.900312532 +0530 IST,614.17000000,0.24800000,false,1,true
2025-03-16 00:01:37.900330989 +0530 IST,614.19000000,0.24800000,false,1,true
2025-03-16 00:01:37.903710287 +0530 IST,614.20000000,0.81400000,false,1,true
2025-03-16 00:01:38.149289501 +0530 IST,614.21000000,0.24800000,false,1,true
2025-03-16 00:01:38.149313128 +0530 IST,614.23000000,0.00900000,false,1,true
2025-03-16 00:01:38.153524976 +0530 IST,614.23000000,0.65000000,false,3,true
2025-03-16 00:01:40.256230124 +0530 IST,614.24000000,0.04800000,false,1,true
2025-03-16 00:01:40.256258642 +0530 IST,614.25000000,0.00900000,false,1,true
2025-03-16 00:01:40.263444653 +0530 IST,614.26000000,0.16400000,false,1,true
2025-03-16 00:01:40.27396692 +0530 IST,614.28000000,0.87700000,false,2,true
2025-03-16 00:01:40.283485651 +0530 IST,614.30000000,0.04400000,false,1,true
2025-03-16 00:01:40.293541141 +0530 IST,614.30000000,0.20400000,false,1,true
2025-03-16 00:01:41.833433082 +0530 IST,614.30000000,0.17700000,false,1,true
2025-03-16 00:01:41.833457917 +0530 IST,614.31000000,0.02300000,false,1,true
2025-03-16 00:01:41.833523925 +0530 IST,614.33000000,0.85700000,false,1,true
2025-03-16 00:01:41.843604196 +0530 IST,614.34000000,1.52400000,false,1,true
2025-03-16 00:01:41.853961984 +0530 IST,614.34000000,1.25400000,false,1,true
2025-03-16 00:01:41.863839107 +0530 IST,614.35000000,0.18300000,false,2,true
2025-03-16 00:01:41.873742891 +0530 IST,614.36000000,7.51300000,false,2,true
2025-03-16 00:01:41.884389898 +0530 IST,614.36000000,0.20000000,false,2,true
2025-03-16 00:01:41.893838726 +0530 IST,614.37000000,1.63800000,false,1,true
2025-03-16 00:01:41.90338273 +0530 IST,614.35000000,0.65200000,false,1,true
2025-03-16 00:01:41.913861144 +0530 IST,614.35000000,0.65200000,false,1,true
2025-03-16 00:01:41.924402291 +0530 IST,614.35000000,1.78200000,false,1,true
2025-03-16 00:01:41.933788845 +0530 IST,614.38000000,0.71700000,false,3,true
2025-03-16 00:01:41.94368059 +0530 IST,614.39000000,0.02600000,false,2,true
2025-03-16 00:01:41.954310071 +0530 IST,614.35000000,0.83200000,false,1,true
2025-03-16 00:01:41.963672548 +0530 IST,614.40000000,1.27600000,false,4,true
2025-03-16 00:01:41.974387638 +0530 IST,614.40000000,0.40900000,false,2,true
2025-03-16 00:01:48.433234574 +0530 IST,614.31000000,5.89700000,true,1,true
2025-03-16 00:01:48.441336115 +0530 IST,614.29000000,3.67300000,true,1,true
2025-03-16 00:01:48.441351171 +0530 IST,614.28000000,0.01300000,true,1,true
2025-03-16 00:01:48.447394625 +0530 IST,614.25000000,1.86000000,true,1,true
2025-03-16 00:01:48.453374889 +0530 IST,614.24000000,0.24800000,false,1,true
2025-03-16 00:01:48.537401493 +0530 IST,614.20000000,0.81400000,true,1,true
2025-03-16 00:01:48.53825692 +0530 IST,614.23000000,0.02700000,false,1,true
2025-03-16 00:01:48.631298887 +0530 IST,614.18000000,0.01100000,true,1,true
2025-03-16 00:01:48.631322332 +0530 IST,614.16000000,0.01300000,true,1,true
2025-03-16 00:01:48.633398357 +0530 IST,614.18000000,0.09800000,true,1,true
2025-03-16 00:01:50.332184489 +0530 IST,614.14000000,0.01000000,true,1,true
2025-03-16 00:01:50.335186144 +0530 IST,614.10000000,0.24800000,true,1,true
2025-03-16 00:01:50.338236554 +0530 IST,614.10000000,0.56600000,true,1,true
2025-03-16 00:01:58.47526824 +0530 IST,614.20000000,0.81400000,false,1,true
2025-03-16 00:02:00.803162293 +0530 IST,614.11000000,0.81000000,true,1,true
2025-03-16 00:02:00.803178621 +0530 IST,614.10000000,1.44800000,true,2,true
2025-03-16 00:02:00.807305555 +0530 IST,614.07000000,0.81000000,true,1,true
2025-03-16 00:02:00.813666448 +0530 IST,614.10000000,0.24800000,false,1,true
2025-03-16 00:02:03.682245763 +0530 IST,614.00000000,0.87100000,true,3,true
2025-03-16 00:02:03.68437996 +0530 IST,613.98000000,3.70400000,true,2,true
2025-03-16 00:02:03.684396362 +0530 IST,613.97000000,0.02400000,true,2,true
2025-03-16 00:02:04.593285758 +0530 IST,613.94000000,0.24800000,true,1,true
2025-03-16 00:02:04.593311636 +0530 IST,613.93000000,0.54000000,true,1,true
2025-03-16 00:02:04.689354959 +0530 IST,613.93000000,0.09800000,true,1,true
2025-03-16 00:02:04.689386709 +0530 IST,613.92000000,0.01300000,true,1,true
2025-03-16 00:02:04.912407664 +0530 IST,613.91000000,0.01000000,true,1,true
2025-03-16 00:02:06.913546465 +0530 IST,613.90000000,0.82400000,true,2,true
2025-03-16 00:02:06.91355845 +0530 IST,613.89000000,0.00600000,true,1,true
2025-03-16 00:02:07.060257281 +0530 IST,613.89000000,0.00400000,true,1,true
2025-03-16 00:02:14.11142426 +0530 IST,613.91000000,0.24800000,true,1,true
2025-03-16 00:02:15.605376495 +0530 IST,613.97000000,0.20200000,false,1,true
2025-03-16 00:02:18.308332846 +0530 IST,613.97000000,0.20200000,true,1,true
2025-03-16 00:02:21.942483053 +0530 IST,613.88000000,0.17600000,true,1,true
2025-03-16 00:02:21.942507839 +0530 IST,613.88000000,0.07200000,true,1,true
2025-03-16 00:02:35.103297121 +0530 IST,613.98000000,0.78400000,false,1,true
2025-03-16 00:02:35.105397424 +0530 IST,614.00000000,0.81400000,false,1,true
2025-03-16 00:02:35.105433612 +0530 IST,614.02000000,0.01300000,false,1,true
2025-03-16 00:02:35.113796653 +0530 IST,613.98000000,0.51400000,false,1,true
2025-03-16 00:02:35.124371509 +0530 IST,614.05000000,2.05600000,false,1,true
2025-03-16 00:02:35.133775297 +0530 IST,614.05000000,0.58500000,false,1,true
2025-03-16 00:02:35.144357907 +0530 IST,614.06000000,8.15200000,false,1,true
2025-03-16 00:02:36.017238554 +0530 IST,613.99000000,0.09400000,true,1,true
2025-03-16 00:02:37.139289072 +0530 IST,613.99000000,0.04500000,true,1,true
2025-03-16 00:02:37.144316105 +0530 IST,613.99000000,0.10900000,true,1,true
2025-03-16 00:02:45.419189769 +0530 IST,614.13000000,0.09800000,false,1,true
2025-03-16 00:02:45.494312464 +0530 IST,614.14000000,0.01000000,false,1,true
2025-03-16 00:02:45.496294326 +0530 IST,614.17000000,0.01100000,false,1,true
2025-03-16 00:02:49.21530401 +0530 IST,614.08000000,0.24800000,true,1,true
2025-03-16 00:02:49.295209401 +0530 IST,614.14000000,0.24800000,false,1,true
2025-03-16 00:02:51.850350529 +0530 IST,614.17000000,0.02000000,false,1,true
2025-03-16 00:02:52.457418397 +0530 IST,614.17000000,0.22800000,false,1,true
2025-03-16 00:02:52.458189661 +0530 IST,614.19000000,0.17200000,false,1,true
2025-03-16 00:02:52.632363451 +0530 IST,614.19000000,0.01000000,false,1,true
2025-03-16 00:02:52.851589119 +0530 IST,614.20000000,1.62800000,false,2,true
2025-03-16 00:02:59.198276072 +0530 IST,614.24000000,0.04800000,false,1,true
2025-03-16 00:02:59.202359238 +0530 IST,614.25000000,0.00900000,false,1,true
2025-03-16 00:03:00.725498522 +0530 IST,614.20000000,3.50600000,true,1,true
2025-03-16 00:03:00.725515288 +0530 IST,614.20000000,0.89200000,true,1,true
2025-03-16 00:03:00.733695632 +0530 IST,614.16000000,0.09400000,true,1,true
2025-03-16 00:03:00.743671264 +0530 IST,614.16000000,0.09400000,true,1,true
2025-03-16 00:03:02.213236416 +0530 IST,614.14000000,0.24800000,true,1,true
2025-03-16 00:03:02.213255556 +0530 IST,614.13000000,0.75400000,true,1,true
2025-03-16 00:03:02.21336506 +0530 IST,614.12000000,0.69800000,true,1,true
2025-03-16 00:03:04.42831899 +0530 IST,614.18000000,0.05900000,true,1,true
2025-03-16 00:03:04.42839411 +0530 IST,614.17000000,0.65200000,true,1,true
2025-03-16 00:03:04.433861025 +0530 IST,614.16000000,0.69700000,true,2,true
2025-03-16 00:03:04.444460623 +0530 IST,614.15000000,0.09200000,true,1,true
2025-03-16 00:03:04.461278789 +0530 IST,614.16000000,0.65600000,true,1,true
